"external_gene_id"	"description"
"Dyrk2"	"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 [Source:MGI Symbol;Acc:MGI:1330301]"
"Snx13"	"sorting nexin 13 [Source:MGI Symbol;Acc:MGI:2661416]"
"Espl1"	"extra spindle poles-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2146156]"
"Rap1gap2"	"RAP1 GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:3028623]"
"G2e3"	"G2/M-phase specific E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2444298]"
"Zdhhc18"	"zinc finger, DHHC domain containing 18 [Source:MGI Symbol;Acc:MGI:3527792]"
"Cxx1b"	"CAAX box 1B [Source:MGI Symbol;Acc:MGI:3576504]"
"Adamts15"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 [Source:MGI Symbol;Acc:MGI:2449569]"
"Nufip2"	"nuclear fragile X mental retardation protein interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915814]"
"Bcat1"	"branched chain aminotransferase 1, cytosolic [Source:MGI Symbol;Acc:MGI:104861]"
"Larp4"	"La ribonucleoprotein domain family, member 4 [Source:MGI Symbol;Acc:MGI:2443114]"
"Pdp2"	"pyruvate dehyrogenase phosphatase catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:1918878]"
"Inpp4b"	"inositol polyphosphate-4-phosphatase, type II [Source:MGI Symbol;Acc:MGI:2158925]"
"Triobp"	"TRIO and F-actin binding protein [Source:MGI Symbol;Acc:MGI:1349410]"
"Hmcn1"	"hemicentin 1 [Source:MGI Symbol;Acc:MGI:2685047]"
"C330021F23Rik"	"RIKEN cDNA C330021F23 gene [Source:MGI Symbol;Acc:MGI:3612471]"
"Bod1"	"biorientation of chromosomes in cell division 1 [Source:MGI Symbol;Acc:MGI:1916806]"
"Pitpnm3"	"PITPNM family member 3 [Source:MGI Symbol;Acc:MGI:2685726]"
"Zfp563"	"zinc finger protein 563 [Source:MGI Symbol;Acc:MGI:2677168]"
"Pik3r1"	"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha) [Source:MGI Symbol;Acc:MGI:97583]"
"Mbp"	"myelin basic protein [Source:MGI Symbol;Acc:MGI:96925]"
"Trp53i11"	"transformation related protein 53 inducible protein 11 [Source:MGI Symbol;Acc:MGI:2670995]"
"Pja2"	"praja 2, RING-H2 motif containing [Source:MGI Symbol;Acc:MGI:2159342]"
"Rtn2"	"reticulon 2 (Z-band associated protein) [Source:MGI Symbol;Acc:MGI:107612]"
"Adcyap1r1"	"adenylate cyclase activating polypeptide 1 receptor 1 [Source:MGI Symbol;Acc:MGI:108449]"
"Sema3g"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:MGI Symbol;Acc:MGI:3041242]"
"Gm5506"	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"
"Hmga1"	"high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]"
"Ccdc141"	"coiled-coil domain containing 141 [Source:MGI Symbol;Acc:MGI:1919735]"
"Maf"	"avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog [Source:MGI Symbol;Acc:MGI:96909]"
"Cdc6"	"cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150]"
"Lonrf2"	"LON peptidase N-terminal domain and ring finger 2 [Source:MGI Symbol;Acc:MGI:1920209]"
"Ate1"	"arginyltransferase 1 [Source:MGI Symbol;Acc:MGI:1333870]"
"Sec23ip"	"Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915]"
"Mmp27"	"matrix metallopeptidase 27 [Source:MGI Symbol;Acc:MGI:3039232]"
"Pmp2"	"peripheral myelin protein 2 [Source:MGI Symbol;Acc:MGI:102667]"
"Pecam1"	"platelet/endothelial cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97537]"
"Sybu"	"syntabulin (syntaxin-interacting) [Source:MGI Symbol;Acc:MGI:2442392]"
"Krtdap"	"keratinocyte differentiation associated protein [Source:MGI Symbol;Acc:MGI:1928282]"
"1190002N15Rik"	"RIKEN cDNA 1190002N15 gene [Source:MGI Symbol;Acc:MGI:1916111]"
"Fbxo33"	"F-box protein 33 [Source:MGI Symbol;Acc:MGI:1917861]"
"Slc22a23"	"solute carrier family 22, member 23 [Source:MGI Symbol;Acc:MGI:1920352]"
"Gtf3c3"	"general transcription factor IIIC, polypeptide 3 [Source:MGI Symbol;Acc:MGI:2138383]"
"Nlrc5"	"NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]"
"Myzap"	"myocardial zonula adherens protein [Source:MGI Symbol;Acc:MGI:2142908]"
"Slc45a4"	"solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]"
"Zfp583"	"zinc finger protein 583 [Source:MGI Symbol;Acc:MGI:2682297]"
"Plekhg1"	"pleckstrin homology domain containing, family G (with RhoGef domain) member 1 [Source:MGI Symbol;Acc:MGI:2676551]"
"Phactr2"	"phosphatase and actin regulator 2 [Source:MGI Symbol;Acc:MGI:2446138]"
"Gxylt1"	"glucoside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2684933]"
"Gas2l3"	"growth arrest-specific 2 like 3 [Source:MGI Symbol;Acc:MGI:1918780]"
"Zfp407"	"zinc finger protein 407 [Source:MGI Symbol;Acc:MGI:2685179]"
"Klhl21"	"kelch-like 21 [Source:MGI Symbol;Acc:MGI:1919288]"
"Iqsec3"	"IQ motif and Sec7 domain 3 [Source:MGI Symbol;Acc:MGI:2677208]"
"Acvr1c"	"activin A receptor, type IC [Source:MGI Symbol;Acc:MGI:2661081]"
"Zfp865"	"zinc finger protein 865 [Source:MGI Symbol;Acc:MGI:2442656]"
"Tmem88b"	"transmembrane protein 88B [Source:MGI Symbol;Acc:MGI:2444329]"
"Shisa3"	"shisa homolog 3 (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:3041225]"
"Garem"	"GRB2 associated, regulator of MAPK1 [Source:MGI Symbol;Acc:MGI:2685790]"
"Iqgap3"	"IQ motif containing GTPase activating protein 3 [Source:MGI Symbol;Acc:MGI:3028642]"
"Gramd2"	"GRAM domain containing 2 [Source:MGI Symbol;Acc:MGI:3528937]"
"Kcnk6"	"potassium inwardly-rectifying channel, subfamily K, member 6 [Source:MGI Symbol;Acc:MGI:1891291]"
"Klhl32"	"kelch-like 32 [Source:MGI Symbol;Acc:MGI:3612790]"
"Rps27a"	"ribosomal protein S27A [Source:MGI Symbol;Acc:MGI:1925544]"
"Adamts17"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17 [Source:MGI Symbol;Acc:MGI:3588195]"
"Ube3a"	"ubiquitin protein ligase E3A [Source:MGI Symbol;Acc:MGI:105098]"
"Shank1"	"SH3/ankyrin domain gene 1 [Source:MGI Symbol;Acc:MGI:3613677]"
"Xpo1"	"exportin 1, CRM1 homolog (yeast) [Source:MGI Symbol;Acc:MGI:2144013]"
"Ap2b1"	"adaptor-related protein complex 2, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1919020]"
"Nacc2"	"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]"
"Musk"	"muscle, skeletal, receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:103581]"
"Ccne2"	"cyclin E2 [Source:MGI Symbol;Acc:MGI:1329034]"
"Agap1"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
"Creb1"	"cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]"
"Arhgef10"	"Rho guanine nucleotide exchange factor (GEF) 10 [Source:MGI Symbol;Acc:MGI:2444453]"
"Col28a1"	"collagen, type XXVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:2685312]"
"Fer"	"fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"Mapt"	"microtubule-associated protein tau [Source:MGI Symbol;Acc:MGI:97180]"
"Olfm1"	"olfactomedin 1 [Source:MGI Symbol;Acc:MGI:1860437]"
"Rabgap1l"	"RAB GTPase activating protein 1-like [Source:MGI Symbol;Acc:MGI:1352507]"
"Slx4ip"	"SLX4 interacting protein [Source:MGI Symbol;Acc:MGI:1921493]"
"Slco3a1"	"solute carrier organic anion transporter family, member 3a1 [Source:MGI Symbol;Acc:MGI:1351867]"
"Kif5a"	"kinesin family member 5A [Source:MGI Symbol;Acc:MGI:109564]"
"Kctd21"	"potassium channel tetramerisation domain containing 21 [Source:MGI Symbol;Acc:MGI:3643121]"
"Rapgef1"	"Rap guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:104580]"
"Rasa4"	"RAS p21 protein activator 4 [Source:MGI Symbol;Acc:MGI:1858600]"
"Trpm1"	"transient receptor potential cation channel, subfamily M, member 1 [Source:MGI Symbol;Acc:MGI:1330305]"
"Asb1"	"ankyrin repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1929735]"
"Npr3"	"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"Gmfg"	"glia maturation factor, gamma [Source:MGI Symbol;Acc:MGI:1927135]"
"Zfp808"	"zinc finger protein 80 [Source:MGI Symbol;Acc:MGI:3704127]"
"Pde4dip"	"phosphodiesterase 4D interacting protein (myomegalin) [Source:MGI Symbol;Acc:MGI:1891434]"
"Lipe"	"lipase, hormone sensitive [Source:MGI Symbol;Acc:MGI:96790]"
"Ivns1abp"	"influenza virus NS1A binding protein [Source:MGI Symbol;Acc:MGI:2152389]"
"Parp14"	"poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]"
"Myo6"	"myosin VI [Source:MGI Symbol;Acc:MGI:104785]"
"Cnnm3"	"cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]"
"Angptl7"	"angiopoietin-like 7 [Source:MGI Symbol;Acc:MGI:3605801]"
"Rad54b"	"RAD54 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:3605986]"
"Smco3"	"single-pass membrane protein with coiled-coil domains 3 [Source:MGI Symbol;Acc:MGI:2443451]"
"Ankrd37"	"ankyrin repeat domain 37 [Source:MGI Symbol;Acc:MGI:3603344]"
"Edem3"	"ER degradation enhancer, mannosidase alpha-like 3 [Source:MGI Symbol;Acc:MGI:1914217]"
"Iffo1"	"intermediate filament family orphan 1 [Source:MGI Symbol;Acc:MGI:2444516]"
"Coq10b"	"coenzyme Q10 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915126]"
"Map2"	"microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175]"
"Larp1b"	"La ribonucleoprotein domain family, member 1B [Source:MGI Symbol;Acc:MGI:1914604]"
"Rspo4"	"R-spondin family, member 4 [Source:MGI Symbol;Acc:MGI:1924467]"
"Rap1gds1"	"RAP1, GTP-GDP dissociation stimulator 1 [Source:MGI Symbol;Acc:MGI:2385189]"
"Kntc1"	"kinetochore associated 1 [Source:MGI Symbol;Acc:MGI:2673709]"
"Blm"	"Bloom syndrome, RecQ helicase-like [Source:MGI Symbol;Acc:MGI:1328362]"
"Arrdc4"	"arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]"
"Htra3"	"HtrA serine peptidase 3 [Source:MGI Symbol;Acc:MGI:1925808]"
"Cadps"	"Ca2+-dependent secretion activator [Source:MGI Symbol;Acc:MGI:1350922]"
"Clk1"	"CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]"
"Nusap1"	"nucleolar and spindle associated protein 1 [Source:MGI Symbol;Acc:MGI:2675669]"
"Fzd5"	"frizzled homolog 5 (Drosophila) [Source:MGI Symbol;Acc:MGI:108571]"
"Fancc"	"Fanconi anemia, complementation group C [Source:MGI Symbol;Acc:MGI:95480]"
"Calcr"	"calcitonin receptor [Source:MGI Symbol;Acc:MGI:101950]"
"Pcdh8"	"protocadherin 8 [Source:MGI Symbol;Acc:MGI:1306800]"
"Neo1"	"neogenin [Source:MGI Symbol;Acc:MGI:1097159]"
"Map6"	"microtubule-associated protein 6 [Source:MGI Symbol;Acc:MGI:1201690]"
"Ubtf"	"upstream binding transcription factor, RNA polymerase I [Source:MGI Symbol;Acc:MGI:98512]"
"Abcc9"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:MGI Symbol;Acc:MGI:1352630]"
"Slc7a2"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:MGI Symbol;Acc:MGI:99828]"
"Rbm15"	"RNA binding motif protein 15 [Source:MGI Symbol;Acc:MGI:2443205]"
"Net1"	"neuroepithelial cell transforming gene 1 [Source:MGI Symbol;Acc:MGI:1927138]"
"Agtpbp1"	"ATP/GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:2159437]"
"Bdnf"	"brain derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:88145]"
"Ghr"	"growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708]"
"Jak2"	"Janus kinase 2 [Source:MGI Symbol;Acc:MGI:96629]"
"Dbndd2"	"dysbindin (dystrobrevin binding protein 1) domain containing 2 [Source:MGI Symbol;Acc:MGI:106562]"
"Hs6st2"	"heparan sulfate 6-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1354959]"
"Tsc22d3"	"TSC22 domain family, member 3 [Source:MGI Symbol;Acc:MGI:1196284]"
"Shroom3"	"shroom family member 3 [Source:MGI Symbol;Acc:MGI:1351655]"
"Shprh"	"SNF2 histone linker PHD RING helicase [Source:MGI Symbol;Acc:MGI:1917581]"
"Srsf5"	"serine/arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]"
"Bcl11b"	"B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]"
"Repin1"	"replication initiator 1 [Source:MGI Symbol;Acc:MGI:1889817]"
"Rnps1"	"ribonucleic acid binding protein S1 [Source:MGI Symbol;Acc:MGI:97960]"
"Btaf1"	"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147538]"
"Fam65c"	"family with sequence similarity 65, member C [Source:MGI Symbol;Acc:MGI:1916803]"
"Uhrf1bp1"	"UHRF1 (ICBP90) binding protein 1 [Source:MGI Symbol;Acc:MGI:3041238]"
"Myo1c"	"myosin IC [Source:MGI Symbol;Acc:MGI:106612]"
"Fat3"	"FAT tumor suppressor homolog 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2444314]"
"Znrf3"	"zinc and ring finger 3 [Source:MGI Symbol;Acc:MGI:3039616]"
"Sp2"	"Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162]"
"Taf1"	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:1336878]"
"Adamts6"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6 [Source:MGI Symbol;Acc:MGI:1347348]"
"Zfp780b"	"zinc finger protein 780B [Source:MGI Symbol;Acc:MGI:2444764]"
"Sbf1"	"SET binding factor 1 [Source:MGI Symbol;Acc:MGI:1925230]"
"Srgap1"	"SLIT-ROBO Rho GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2152936]"
"Dock9"	"dedicator of cytokinesis 9 [Source:MGI Symbol;Acc:MGI:106321]"
"Tecpr2"	"tectonin beta-propeller repeat containing 2 [Source:MGI Symbol;Acc:MGI:2144865]"
"Bdp1"	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:MGI Symbol;Acc:MGI:1347077]"
"Ltn1"	"listerin E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:1926163]"
"Rgs11"	"regulator of G-protein signaling 11 [Source:MGI Symbol;Acc:MGI:1354739]"
"Lclat1"	"lysocardiolipin acyltransferase 1 [Source:MGI Symbol;Acc:MGI:2684937]"
"Klhl41"	"kelch-like 41 [Source:MGI Symbol;Acc:MGI:2683854]"
"Grik3"	"glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]"
"Mki67"	"antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]"
"Ankrd35"	"ankyrin repeat domain 35 [Source:MGI Symbol;Acc:MGI:2442590]"
"Kcnq4"	"potassium voltage-gated channel, subfamily Q, member 4 [Source:MGI Symbol;Acc:MGI:1926803]"
"Tigd2"	"tigger transposable element derived 2 [Source:MGI Symbol;Acc:MGI:1915390]"
"Marf1"	"meiosis arrest female 1 [Source:MGI Symbol;Acc:MGI:2444505]"
"Trnp1"	"TMF1-regulated nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1916789]"
"Frmpd1"	"FERM and PDZ domain containing 1 [Source:MGI Symbol;Acc:MGI:2446274]"
"Gpr116"	"G protein-coupled receptor 116 [Source:MGI Symbol;Acc:MGI:2182928]"
"Heatr5b"	"HEAT repeat containing 5B [Source:MGI Symbol;Acc:MGI:2444098]"
"Hcn4"	"hyperpolarization-activated, cyclic nucleotide-gated K+ 4 [Source:MGI Symbol;Acc:MGI:1298209]"
"Dpy19l4"	"dpy-19-like 4 (C. elegans) [Source:MGI Symbol;Acc:MGI:2685869]"
"Pprc1"	"peroxisome proliferative activated receptor, gamma, coactivator-related 1 [Source:MGI Symbol;Acc:MGI:2385096]"
"Prr16"	"proline rich 16 [Source:MGI Symbol;Acc:MGI:1918623]"
"6330403A02Rik"	"RIKEN cDNA 6330403A02 gene [Source:MGI Symbol;Acc:MGI:2138735]"
"Pigg"	"phosphatidylinositol glycan anchor biosynthesis, class G [Source:MGI Symbol;Acc:MGI:3576484]"
"Uggt2"	"UDP-glucose glycoprotein glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1913685]"
"Kdm3b"	"KDM3B lysine (K)-specific demethylase 3B [Source:MGI Symbol;Acc:MGI:1923356]"
"Kif14"	"kinesin family member 14 [Source:MGI Symbol;Acc:MGI:1098226]"
"Mfsd7b"	"major facilitator superfamily domain containing 7B [Source:MGI Symbol;Acc:MGI:2444881]"
"Trim55"	"tripartite motif-containing 55 [Source:MGI Symbol;Acc:MGI:3036269]"
"Fat1"	"FAT tumor suppressor homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:109168]"
"Fam217b"	"family with sequence similarity 217, member B [Source:MGI Symbol;Acc:MGI:1918782]"
"Arhgef26"	"Rho guanine nucleotide exchange factor (GEF) 26 [Source:MGI Symbol;Acc:MGI:1918053]"
"Mphosph9"	"M-phase phosphoprotein 9 [Source:MGI Symbol;Acc:MGI:2443138]"
"Ttc37"	"tetratricopeptide repeat domain 37 [Source:MGI Symbol;Acc:MGI:2679923]"
"Camsap2"	"calmodulin regulated spectrin-associated protein family, member 2 [Source:MGI Symbol;Acc:MGI:1922434]"
"Cenpf"	"centromere protein F [Source:MGI Symbol;Acc:MGI:1313302]"
"Dmxl1"	"Dmx-like 1 [Source:MGI Symbol;Acc:MGI:2443926]"
"Mdn1"	"midasin homolog (yeast) [Source:MGI Symbol;Acc:MGI:1926159]"
"1810013L24Rik"	"RIKEN cDNA 1810013L24 gene [Source:MGI Symbol;Acc:MGI:1916303]"
"Adamts3"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3 [Source:MGI Symbol;Acc:MGI:3045353]"
"Phf20l1"	"PHD finger protein 20-like 1 [Source:MGI Symbol;Acc:MGI:2444412]"
"Fndc1"	"fibronectin type III domain containing 1 [Source:MGI Symbol;Acc:MGI:1915905]"
"Chd7"	"chromodomain helicase DNA binding protein 7 [Source:MGI Symbol;Acc:MGI:2444748]"
"Gltscr1"	"glioma tumor suppressor candidate region gene 1 [Source:MGI Symbol;Acc:MGI:2154263]"
"Bod1l"	"biorientation of chromosomes in cell division 1-like [Source:MGI Symbol;Acc:MGI:2444804]"
"Rbm24"	"RNA binding motif protein 24 [Source:MGI Symbol;Acc:MGI:3610364]"
"Zscan25"	"zinc finger and SCAN domain containing 25 [Source:MGI Symbol;Acc:MGI:3647079]"
"Ino80d"	"INO80 complex subunit D [Source:MGI Symbol;Acc:MGI:3027003]"
"Wdr86"	"WD repeat domain 86 [Source:MGI Symbol;Acc:MGI:1915466]"
"Ncam1"	"neural cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97281]"
"Tbc1d8b"	"TBC1 domain family, member 8B [Source:MGI Symbol;Acc:MGI:1918101]"
"Ccnd3"	"cyclin D3 [Source:MGI Symbol;Acc:MGI:88315]"
"Zfp800"	"zinc finger protein 800 [Source:MGI Symbol;Acc:MGI:1889334]"
"Zfp72"	"zinc finger protein 72 [Source:MGI Symbol;Acc:MGI:3033356]"
"Zbtb21"	"zinc finger and BTB domain containing 21 [Source:MGI Symbol;Acc:MGI:1927240]"
"Akap17b"	"A kinase (PRKA) anchor protein 17B [Source:MGI Symbol;Acc:MGI:2443758]"
"9430020K01Rik"	"RIKEN cDNA 9430020K01 gene [Source:MGI Symbol;Acc:MGI:2685174]"
"Rnf144a"	"ring finger protein 144A [Source:MGI Symbol;Acc:MGI:1344401]"
"Sh3d19"	"SH3 domain protein D19 [Source:MGI Symbol;Acc:MGI:1350923]"
"BC100530"	"cDNA sequence BC100530 [Source:MGI Symbol;Acc:MGI:3696883]"
"Spint2"	"serine protease inhibitor, Kunitz type 2 [Source:MGI Symbol;Acc:MGI:1338031]"
"Gbp7"	"guanylate binding protein 7 [Source:MGI Symbol;Acc:MGI:2444421]"
"Pdgfra"	"platelet derived growth factor receptor, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97530]"
"Prr5l"	"proline rich 5 like [Source:MGI Symbol;Acc:MGI:1919696]"
"Srpx2"	"sushi-repeat-containing protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1916042]"
"Scn3b"	"sodium channel, voltage-gated, type III, beta [Source:MGI Symbol;Acc:MGI:1918882]"
"Wbp1"	"WW domain binding protein 1 [Source:MGI Symbol;Acc:MGI:104710]"
"Slc35a2"	"solute carrier family 35 (UDP-galactose transporter), member A2 [Source:MGI Symbol;Acc:MGI:1345297]"
"Hba-a2"	"hemoglobin alpha, adult chain 2 [Source:MGI Symbol;Acc:MGI:96016]"
"Arid1b"	"AT rich interactive domain 1B (SWI-like) [Source:MGI Symbol;Acc:MGI:1926129]"
"Ppp1r3d"	"protein phosphatase 1, regulatory subunit 3D [Source:MGI Symbol;Acc:MGI:1917664]"
"Trabd2b"	"TraB domain containing 2B [Source:MGI Symbol;Acc:MGI:3650152]"
"Ogfod1"	"2-oxoglutarate and iron-dependent oxygenase domain containing 1 [Source:MGI Symbol;Acc:MGI:2442978]"
"Zbtb3"	"zinc finger and BTB domain containing 3 [Source:MGI Symbol;Acc:MGI:1922541]"
"Tox2"	"TOX high mobility group box family member 2 [Source:MGI Symbol;Acc:MGI:3611233]"
"Myof"	"myoferlin [Source:MGI Symbol;Acc:MGI:1919192]"
